section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914607467e+18,-2.378049,-12.012196,2.256098,-0.065369,-0.920837,0.311829,10.8231828338922,18.7898858610408,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914607961e+18,-2.256098,-12.134147,2.560976,-0.068909,-0.919434,0.311646,11.213505766366,18.672889213945,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914608455e+18,-2.317073,-12.195122,2.743902,-0.070435,-0.920349,0.314941,11.1069624686447,18.968074849619,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914608949e+18,-2.378049,-12.378049,2.926829,-0.072388,-0.918091,0.313049,11.3732414528668,18.7243568947398,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914609443e+18,-2.560976,-12.560976,3.109756,-0.06897,-0.914795,0.315247,11.1143696582024,18.9646227128342,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914609937e+18,-2.682927,-12.682927,3.353659,-0.071655,-0.915283,0.315674,11.4555443289852,19.144183321913,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914610431e+18,-2.621951,-13.109756,3.597561,-0.076172,-0.918335,0.315125,11.4971794217571,18.827548894266,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914610925e+18,-2.682927,-13.414635,3.658537,-0.070557,-0.918213,0.316101,11.1414686249198,18.9931050778353,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914611419e+18,-2.682927,-13.658537,3.719512,-0.071838,-0.914673,0.317993,11.302222974922,19.2749600888358,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914611913e+18,-2.926829,-13.963415,3.780488,-0.069336,-0.917542,0.311951,11.1710525741025,18.9664721109082,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914612407e+18,-3.109756,-14.146341,3.719512,-0.075012,-0.920715,0.316772,11.5915101777859,18.9917597715787,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914612901e+18,-3.04878,-14.512196,4.02439,-0.076111,-0.918701,0.314636,11.2941181978971,18.7521807153928,,,,,
